A	ぁ,ァ
hei	丙,俾,僻,凭,坪,塀,娉,嬖,屏,幣,幤,幵,并,弊,憊,敝,斃,枋,炳,睥,砒,秉,竝,箆,篦,聘,苹,萍,蓖,蔽,薜,閇,閖,餅,餠,髀,鮃,瓶,陛,並,兵,病,柄,閉,併,平,恵
heki	僻,劈,擘,璧,甓,癖,碧,襞,躄,辟,闢,霹,壁
heko	凹
hekutoguramu	瓸
hekutomeetoru	粨
hekutorittoru	竡
hen	卞,扁,扮,旙,旛,汳,瓣,篇,翩,胼,蝙,褊,諞,變,貶,辧,辨,辮,辯,遍,邉,邊,鞭,駢,騙,逸,編,弁,辺,返,偏,変,片,平
hena	埴
hera	箆,篦
heri	縁
herikuda	遜
hesaki	舮,舳,艫
heso	臍
heta	蒂,蔕
heti	暼
hettui	竃,竈
hetu	丿,暼,瞥,蔽,鼈
hetura	諂,諛
heya	曹
hezu	剥
hi	丕,俾,僻,冰,冱,冴,匕,匪,卑,嚊,坡,妣,婁,婢,屁,庇,弯,彈,彎,怫,惹,扉,拏,拿,挽,掎,掣,攣,斐,暃,曳,曵,朏,杼,枇,桧,梭,榧,樋,檜,毘,沍,泌,燈,牽,狒,琵,痞,痺,砒,碾,祕,秕,稗,簸,粃,紕,絅,緋,罷,羆,翡,脾,腓,臂,茯,菲,蓖,蜚,裨,裴,誹,譬,豼,貔,賁,贔,跛,輓,轡,轢,辟,鄙,陂,霏,靡,鞁,鞴,髀,鯡,鵯,乾,妃,氷,碑,避,理,彼,等,冷,否,批,ヒ,ひ,飛,孫,披,灯,疲,非,火,春,退,英,被,干,肥,輝,陳,常,比,似,旭,皮,井,悲,費,引,一,弾,日,秘,陽,平
hibi	皴,皸,皹,罅,響
hibiki	韵
hida	摺,襞
hidari	左
hide	偉,嗣,英,任,豪,秀,栄
hideri	旱
hidesi	秀
hido	酷
hidume	蹄
hie	稗,肥
higa	僻,東
higai	鰉
higasi	東
hige	髭,髯,鬚,髪,須
higuma	羆
higurasi	蜩
hihi	狒
hii	秀
hiiragi	柊
hika	扣,熈,熙,爍,皓,光,煕,控
hikagami	膕
hikari	洸,燿,耀,耿,晶,光
hikaru	晃,輝
hike	引
hiki	挽,曳,疋,蟆,蟇,逼,抽,匹,率,引
hikii	將,将
hikiri	燧
hikitu	痙
hikituke	癇
hiko	彦,光,人,勉
hikobae	蘖
hiku	矮,低
hima	遑,釁,隙,暇
hime	嬪,姫,媛
himo	紐,綬
himogori	膰
himono	鱶
himorogi	胙,膰
himoto	繙
himusi	蛾
hin	嬪,彬,擯,斌,梹,檳,殯,濱,瀕,牝,禀,秤,稟,繽,蘋,賓,顰,鬢,頻,浜,貧,品
hina	鄙,雛
hine	拈,捻,撚
hineku	弄
hinoe	丙
hinoki	桧,檜
hinokuti	閘
hinosi	熨
hinoto	丁
hira	挨,擺,攤,豁,辟,闢,衡,開,波,拓,啓,平,成,枚
hirabi	曰
hiraku	拆,磔
hirame	閃,鮃
hiratai	扁
hire	鰭
hiro	丑,凡,廣,恢,擴,敞,氾,汎,汪,洸,滉,濶,瀚,熈,熙,皓,碵,禮,紘,胖,豁,闊,伯,拾,祐,郭,彦,公,普,幸,拡,博,央,欧,周,嘉,寛,尋,弥,拓,祥,洋,太,展,倫,啓,宙,泰,聖,仁,宏,浩,煕,容,大,広,宗,敬,裕,海,宇,弘,緩,陽
hiromu	弘
hiron	寛
hirosi	汎,洸,皓,紘,祐,豊,寛,洋,宏,浩,煕,礼,大,裕,海,宇,弘
hiru	怯,晝,蒜,蛭,昼
hiruga	翩,飃,飄,飜
hirugae	翻
hisa	壽,廂,彌,玖,粥,鬻,桐,永,央,剛,尚,弥,恒,久,史,亀,寿,長,教,宣
hisagi	楸
hisago	匏,瓠,瓢,蠡
hisame	霈
hisasi	亘,壽,庇,廂,廡,彌,恆,梠,檐,簷,龜,永,尚,弥,恒,九,亀,寿
hisi	拉,犇,蔆,菱,西
hisihisi	犇
hisikui	鴻
hisio	醢,醤
hiso	潛,濳,窃,竊,顰,潜,秘,密
hissa	挈
hissori	闃
hisyaku	杓
hita	婬,涵,淫,溲,浸,常
hitai	額
hitaki	鶲
hiti	篳,七
hitigi	柩
hitikudo	諄
