A	ぁ,ァ
syou	且,丞,丼,从,倡,剏,剿,劭,勦,升,厰,召,哨,嘗,嘯,噌,囁,囎,墻,奬,妝,妾,娼,宵,將,峭,嶂,庠,廂,廠,從,悄,悚,愀,慫,慯,慴,慵,憔,憧,懾,抄,拯,挟,挾,捷,掌,搶,摂,摺,攝,敞,旌,杪,枌,枩,梢,椄,椒,楫,槍,樅,樟,樣,樵,橡,橦,檣,歃,歙,殤,浹,淞,湘,湫,漿,瀞,瀟,炒,烝,燒,燮,爿,牀,牆,猖,猩,獎,璋,甑,甞,甥,瘡,瘴,睛,睫,硝,礁,秤,稍,稱,竦,笙,筝,筱,箏,簫,聲,聳,聶,肖,腥,腫,舂,艘,艟,艢,莊,菁,菖,蒋,蕉,蕭,薔,蚣,蛸,裝,裳,褶,襄,觴,詔,誚,誦,諍,證,踪,踵,蹌,蹤,逍,邵,醤,鈔,鉦,銷,錆,鍬,鍾,鎗,鏘,陞,霄,霎,鞘,韶,頌,顳,餉,驤,驫,鬆,鮹,鯖,鱆,鱶,鷦,匠,姓,晶,篠,粧,翔,荘,鐘,傷,昇,星,焼,小,償,相,昭,精,将,装,従,清,渉,障,接,登,青,咲,奨,尚,庄,彰,祥,生,賞,上,請,政,様,昌,沼,聖,詳,象,声,松,乗,証,商,消,焦,少,井,床,照,省,唱,紹,衝,症,称,章,笑,正,扱,承,秀,訟,勝,創,招,性
syouhen	爿
syouzyou	猩
syu	シュ,侏,呪,咒,娵,娶,戍,搜,撞,數,朱,枢,柊,棕,椶,樞,橦,殳,洙,溲,痩,繻,聚,腫,茱,蛛,諏,趨,鄒,銖,銹,鋳,鍾,鑄,鬆,鬚,鰌,鰍,麈,狩,珠,酬,最,取,主,手,しゅ,周,捜,衆,掃,殊,修,守,種,株,須,輸,趣,首,秀,酒,数
syuku	俶,倏,叔,夙,槭,淑,矗,粥,肅,菽,蓿,謖,蹙,蹴,鬻,齪,粛,宿,祝,縮
syun	儁,吮,墫,峻,徇,恂,悛,惇,惷,洵,浚,濬,皴,竣,笋,筍,舜,荀,蓴,蕣,蠢,訊,詢,諄,蹲,逡,遁,醇,隼,雋,馴,駲,駿,鰆,鶉,淳,旬,瞬,春,俊
syutu	卆,恤,朮,蟀,齣,卒,出,率
syuu	什,厨,叟,呪,咒,售,啾,嗽,囚,壽,夂,娵,岫,嵩,帚,廚,愀,愁,慴,掫,揖,搜,摺,收,柊,楢,楫,楸,泅,湫,溲,漱,澀,澁,濕,甃,痩,皺,穐,箒,籀,綉,緝,繍,羞,聚,脩,艘,芻,菘,菷,葺,蒐,蒭,蓚,螽,袖,褶,讎,讐,蹴,躊,輯,逎,遒,鄒,酋,醜,銹,鋳,鍬,鏥,鑄,陬,隰,鞦,駲,驟,鰌,鰍,鷲,齪,龝,拾,洲,臭,舟,萩,酬,昇,執,主,羽,習,就,週,周,捜,秋,衆,湿,修,寿,収,祝,終,州,渋,襲,集,宗,秀
syuuto	姑,舅
syuutome	姑
t	っ,ッ
ta	仔,佗,侘,咤,咫,哮,唾,埀,堪,夛,它,岔,憚,斷,朶,柁,楕,樔,殄,汰,沱,溜,澑,焚,發,矯,竪,綏,經,舵,荼,詑,詫,誑,誰,謖,豎,躱,閇,闌,陀,隋,駝,騨,鴕,點,垂,炊,駄,経,度,馬,タ,田,手,立,高,発,耐,他,た,天,太,種,丹,泰,楽,断,起,足,食,裁,大,貯,屋,反,建,向,女,閉,点,海,多,原,絶
taTU	立
taba	繃,把,煙,束,抱
tabaka	誑,謀
tabako	莨
tabi	羇,羈,覊,韈,度,旅
tabo	髱
tabu	椨
tabura	誑
tabusa	髻
tada	但,匡,只,啻,尹,彈,惟,爛,祇,禎,糜,糺,糾,繩,董,貭,飭,宰,理,伊,内,督,唯,征,政,聖,質,真,三,斉,忠,直,弾,正,縄
tadasi	侃,匡,旦,矩,禎,肇,公,理,督,貞,真,義,規,忠,雅,正,端
tadasu	匡,擶,紀
tadatini	徑,逕,径
tadayo	汎,漾,漂
tade	蓼
tado	辿
tadori	辿
taduna	羇,羈,覊,轡
tae	栲,紗,耐,妙,成
taga	畊,箍,靠,違,互
tagaini	逓,遞
tagane	鏨
tagau	爽
tagaya	畉,耕
tagi	滾
tagosi	輦
tagu	伉,類
tagui	畴,疇,雙,双
tahu	椨
tai	來,兌,堆,夷,對,岱,帶,戴,抬,擡,梯,棣,歹,殆,汰,滯,炬,玳,碓,秦,紿,胎,腿,臺,苔,蒂,蔕,薹,蛻,褪,詆,詒,諦,豸,躰,軆,醍,鎚,鐓,隶,靆,頽,颱,駘,體,鯛,黛,怠,敦,当,帯,体,替,代,逮,対,耐,隊,太,退,待,泰,態,大,滞,袋,台,貸,平,来
taimai	玳
taira	坦,砥,平
taka	享,喬,堯,寶,尭,岌,峻,崇,崛,嵩,巍,敞,昂,杲,琢,陟,魏,宜,鷹,公,京,将,竹,就,延,高,学,登,剛,卓,尚,廷,銘,好,太,尊,岳,聖,賢,宅,応,能,臣,考,孝,誉,顧,挙,宗,敬,宇,貴,隆
takaburu	亢
takadono	楼,樓
takamu	崇
takamura	篁
takamusiro	簟
takanna	笋,筍
takara	寳,寶,珎,貲,用,財,珍,宝
takasi	享,喬,尭,峻,崇,嵩,巍,敞,昂,皐,髞,卓,尚,天,丘,長,大,孝,律,敬,節,岐,貴,隆
takatuki	鐙
take	傑,孟,嵩,嶽,彪,斌,茸,蕈,虎,赳,毅,猛,穀,全,竹,健,剛,雄,丈,尊,岳,長,武,宅,威,誉,豪,建,敬,和
takeki	彪
taken	岳,武
takenawa	酣,闌
takenoko	笋,筍
takeru	猛
takesi	壯,孟,彪,悍,洸,赳,驍,毅,猛,健,剛,武,威,豪
taki	嶽,瀑,瀧,滝
takigi	掫,蕘,薪
tako	凧,蛸,鮹,鱆
taku	倬,啄,啅,戳,托,拆,擇,擢,柝,棹,櫂,濯,炸,琢,磔,詫,謫,躅,鈬,鐸,魄,巧,澤,度,卓,拓,宅,沢,択,託
takuma	逞
takumi	倆,匠,巧,工
takuwa	儲,薀,蓄,貯
tama	堪,彈,溜,澑,玖,玲,珪,瑤,瑰,瑶,璧,瓊,碧,賚,賜,錫,靈,魄,偶,圭,珠,瑞,魂,玉,給,霊,環,球,弾
tamago	孚,卵
tamaki	鐶,環
tamamono	賚
tamari	溜,澑
tamasii	魂
tamato	袂
tamawa	賜
tamaya	廟
tame	溜,澑,爲,驗,為,験,試
tameiki	愾
tamera	躇,躊
tamesi	驗,験
tami	氓,民,丹
tamo	賜,給,保
tamoto	袂
tamotu	維
tamusi	癬
tan	丼,亶,但,啖,啗,單,坦,堪,壜,彈,彖,怛,愽,慱,憚,憺,揣,摶,擔,攤,旦,椴,槫,檀,檐,歎,殫,毯,湍,湛,潭,澹,猯,疸,痰,眈,站,箪,簟,綻,緞,罎,耽,膽,葮,蕁,蛋,蜑,蜒,袒,褝,襌,覃,譚,譫,貪,賺,赧,鄲,酖,鍛,鐔,靼,餤,騨,唐,嘆,灘,胆,短,田,壇,淡,単,段,谷,丹,担,炭,誕,反,弾,探,端
tana	屶,廛,棚,店
tanagokoro	掌,掬
tane	稙,胤,種
tani	壑,峪,渓,溪,澗,谿,谷
tanigawa	渓,溪,谿
tanimizu	澗
tano	倚,嘱,囑,嬉,怙,恃,愉,憑,托,樂,馮,頼,楽
tanosi	佚,熈,熙,煕
tanuki	狸,貍
tao	乢,仆,僵,垰,嫋,嵶,斃,殪,蹶,顛,倒
taoyaka	婀
tara	槃,鰔,鱈,平
tarai	盥
tarasi	足
tare	孰,誰
taregami	髦
tari	爲,為,渡,谷
taru	弛,樽,垂,善
taruki	桷,椽,榱
tasi	慥,碓,確
tasina	嗜,窘
tasu	丞,佑,侑,幇,弼,扶,掖,毘,裨,贊,祐,輔,賛,助
tasuki	襷
tasuku	佑,弼,亮,祐,輔
tata	叩,彳,扣,敲,毆,湛,疂,疉,疊,祟,稱,讃,讚,贊,頌,畳,賛,忠,称
tataka	戰,鬪,闘,戦
tatakaigamae	鬥
tatami	疂,疉,疊,畳
tatara	鑪
tatazu	佇,竚
tate	楯,竪,縱,舘,豎,鹵,盾,帯,立,健,縦,賢,館,建
tategami	鬣
tatehuda	榜
tateito	經,経
tatematu	亨,獻,奉,献
tati	朔,舘,貭,逹,闥,靼,陸,立,城,達,質,館,日
tatibana	橘
tatiki	樹
tatima	乍,忽
tatimati	倏,奄
tatimotoo	裴,躑
tato	俔,喩,譬,例
tatto	尊,貴
tatu	怛,截,撻,燵,獺,蔦,逹,闥,靼,韃,辰,樹,立,達,竜,龍,建
tatumi	巽
taturu	樹
tawa	乢,垰,嵶,懈,撓,橈
tawagoto	譫
tawamu	弄,戯,戲,謔
tawamure	詼
tawara	俵
tayo	頼,便
tayu	弛
tazi	但
tazu	訊,尋,訪,鶴
tazune	繹
tazusa	攜,携
te	勅,弖,樋,汀,稻,逹,因,テ,て,手,豊,達,天,守,弟,殿,照,稲
teTU	鉄,哲,徹
tegata	劵
teguruma	輦
tei	俤,偵,剃,剔,叮,呈,啼,嚏,嚔,奠,姨,幀,廰,廳,悌,挺,掟,柢,梃,梯,棣,楴,汀,洟,涕,渟,滯,牴,畷,疔,眤,睇,砥,碇,禎,綴,羝,蒂,蔕,薙,蟶,裼,觝,詆,諦,蹄,躰,軆,逓,逞,遉,遞,鄭,酊,酲,醍,釘,錣,霆,騁,體,髢,鵜,鼎,亭,堤,艇,底,庭,停,聴,体,丁,締,定,廷,訂,程,低,帝,貞,庁,弟,抵,邸,提,滞,袋,第
tekase	梏
teki	俶,剔,嫡,廸,彳,擢,擲,杓,滌,滴,狄,笛,糴,覿,躑,迪,逖,鏑,荻,適,的,摘,敵
teko	杆,杠,桿,梃,槓
ten	丶,佃,傳,唸,囀,填,壥,奠,巓,廛,忝,恬,掾,椽,槇,槙,殄,沾,澱,甜,甸,畋,癜,癲,碾,篆,簟,纏,纒,腆,蚕,蠶,覘,諂,貂,貼,躔,輾,轉,辿,鈿,銛,霑,靦,顛,騨,鷆,鷏,點,淀,天,伝,出,展,添,転,殿,店,典,一,点
tenmado	窗,窓
tenohira	掌
tera	衒,寺
tero	得
teru	暁,暉,瑛,皓,昭,央,晃,光,映,輝,旭,両,照,曜,栄
tesuri	檻,闌,欄
teti	綴
tetu	佚,咥,啜,垤,姪,屮,捏,畷,綴,耋,跌,軼,輟,轍,迭,銕,錣,鐡,鐵,餮,達,鉄,哲,徹,撤
tetun	哲
ti	些,仟,夂,弛,痴,癡,眞,砥,穉,笞,緻,耻,胝,茅,薙,蜘,褫,豸,貭,踟,躓,輊,遲,陀,雉,馳,魑,黐,黹,刀,刃,恥,稚,治,池,遅,千,散,丁,チ,ち,津,内,地,市,値,五,形,質,乳,置,十,徴,智,知,和,都,盤,致,血
tiTU	秩
tibi	禿
tidi	縮
tidori	鵆
tiga	違
tigaya	茅
tigi	契
tigo	兒
tii	小
tiisa	瑣,小
tiisai	幺
tika	允,尹,峻,悌,慈,爾,睦,迩,邇,哉,誓,鎮,央,周,史,親,義,隣,朝,慎,元,近
tikadu	昵
tikara	力
tikasi	迩
tiki	飭
tikiri	巾
tiku	畜,矗,竺,舳,逐,築,竹,蓄,筑
timaki	粽
timata	巷
tin	填,塵,戡,抻,朕,枕,椹,湛,狆,珎,疹,砧,碪,趁,酖,鍖,鎭,闖,鴆,亭,椿,鎮,丁,清,沈,珍,陳,賃
tina	因
tinba	跛
tinomigo	孩,孺
tinu	釁
tiri	埃,塵
tiriba	鏤
tiru	散,生
tis	蟄
tisuzi	胄
tisya	苣
titi	爺,父,秩,乳
titu	姪,帙,窒,腟,膣,蛭,蟄,鷙,秩
tiya	茶
to	兎,兔,兜,吐,咤,圖,堵,妬,屠,抖,搏,搴,摂,攝,攬,斗,斛,杜,梳,樋,樢,涛,熔,畄,當,睹,砥,砺,礪,秉,綴,緘,聘,肚,荼,莵,菟,蚪,蠧,蠹,覩,觧,訊,賭,跿,遏,釆,采,銷,鍍,鎔,鐺,鑠,閇,闍,冨,刀,刃,塗,翔,闘,鳥,取,停,執,度,問,徒,途,永,留,等,津,豊,富,採,博,図,飛,吉,登,と,溶,跳,遂,融,階,訪,時,捕,音,渡,門,戸,頭,ト,説,夫,研,仁,泊,臣,石,土,止,人,藤,撮,十,解,利,閉,都,勝,名,外
toTU	鳥
tobari	帷,幃,幄,幎,帳,幌
tobi	鳶,鴟,鵄,鵈,飛
tobira	扉,闔
tobiranoto	戸
tobiti	溌
tobo	恍,點,乏,点
toboso	枢,樞
tobuhi	烽
tobura	弔
todo	屆,椴,渟,畄,稽,逗,遏,閼,鯔,留,止,届
todokoo	滯,滞
todoro	軣,轟,驫
toga	咎,尖,尤,愧,栂,謫
toge	朿,棘,薊,刺
togi	伽,時
toguro	塒
toi	樋
toisi	砥
toka	爍
tokage	蜥
toke	解
toki	晨,穐,閧,鬨,鴇,鴾,齋,龝,辰,秋,時,説,常,斎,信,言
toko	所,常,床
tokoro	攸,處,所,処
tokosibari	輹
toku	匿,啄,悳,慝,涜,牘,犢,獨,禿,竇,竺,篤,纛,讀,釋,陟,髑,黷,徳,読,督,独,釈,特,得
toma	篷,苫
tomari	泊
tomasu	斗
tomata	攴
tome	留
tomi	頓,冨,富,臣,福,智
tomo	侶,倶,允,呂,塘,寅,巴,悌,朋,燈,禎,舮,舳,艢,艫,鞆,點,乏,奉,珠,公,幸,紀,興,具,友,寛,灯,供,丈,倫,那,与,視,大,基,誠,朝,共,智,点,知,和,伴,作
tomoduna	纜
tomoe	巴
tomogara	們,儔,儕,曹,輩
tomona	伴
tomoni	偕,與,与
tomosibi	燈,燭,灯
tomura	弔
ton	丼,呑,噸,團,屯,惇,暾,沌,燉,瓲,臀,褪,豚,貪,遁,遯,頓,飩,齔,敦,問,通,富,団
tona	倡,徇,稱,誦,鄰,隣,唱,称
tonari	鄰,隣
tonbi	鳶
tone	舍
tono	殿
too	疏,茫,藐,逖,遐,遠,通,東,柔,十
tooi	彌,弥
tooru	亨,享,暢,理,達,徹,透,宣
tooruhu	亨
tora	乕,囚,寅,彪,捉,擒,虎,捕
toragasira	虍
torakanmuri	虍
tori	禽,酉,隹,鶏,鷄,鳥,取,部,舎
toride	堡,塞,壘,寨,廓,柵,砦,塁
torihen	酉
toriko	俘,擒,禽,虜
toriku	虜
toro	瀞,盪,蕩,蘯,銷,鑠
tose	歳
tosi	壽,峻,彗,惇,慧,淑,甫,禄,聡,肇,駿,齡,哉,毅,稔,鋭,載,順,明,厳,紀,健,史,好,寿,年,歳,敏,福,利,俊,世,宗,敬,智,功,季,齢,要
tosikatu	寿
tosiyori	耋
tote	迚
totemo	迚
toti	杤,橡,栃,構
totono	薺,調,整
totu	凸,吶,咄,柮,歸,皈,肭,訥,頓,嫁,突,帰
tou	亠,俑,偸,僮,儻,兜,兪,剳,叨,吋,啅,喋,嘲,塘,套,宕,嶌,嶝,帑,幀,幢,恫,慟,憧,抖,掉,掏,掟,搗,搨,搭,撓,撞,擣,斗,朷,杜,桃,档,桶,梼,棠,棹,椡,榻,樋,橙,橦,檮,櫂,沓,涛,涜,淌,淘,溏,滔,滕,潼,濤,燈,當,疼,痘,盜,盪,瞠,瞳,磴,礑,祷,稻,竇,箚,籐,籘,粡,絛,綉,綢,綯,縢,纛,罩,肇,艟,苳,荅,荳,萄,董,蓊,蕩,薹,蘯,螳,蟷,襠,謄,譫,讀,蹈,迯,逗,酘,釖,鍮,鐙,鐺,閙,陦,鞜,鞳,韜,饕,骰,鬧,鬪,鰈,鶇,鶫,黨,鼕,刀,唐,塔,悼,桐,洞,糖,酬,闘,倒,踏,当,丁,等,田,読,東,党,登,凍,灯,筒,豆,陶,騰,討,答,郎,頭,棟,湯,到,嶋,藤,冬,透,統,十,任,投,稲,盗,島,道,納,逃
tougamae	鬥
touge	垰,峠
toumaru	鶤
toumi	江
touru	亘,亨,暢
touto	尊,貴
towa	樋
toya	塒
toyo	樋,豐,豊
toza	鎖
tu	亞,偸,兎,兔,兪,剪,吊,吐,妬,悉,憑,抓,搗,搶,撞,擣,攣,柘,椄,漬,痙,盡,綉,繼,纉,舂,莅,莵,菟,葎,薀,蘊,誥,貼,踵,鉉,附,顆,鶇,鶫,點,塚,通,継,連,就,ツ,つ,子,司,津,摘,突,接,亜,拓,釣,積,四,注,尽,鶴,着,即,土,徹,付,次,告,衝,奥,点,水,都,詰
tuba	唾,鍔,鐔,椿
tubaki	唾,沫,椿
tubakura	燕
tubakuro	燕
tubame	燕
tubasa	翅,翼
tubo	坩,坪,壷,壺,窄
tubomi	莟,蕾
tubone	局
tubu	潰,瞑,粒
tubura	圓,円
tubusa	悉,具,審,備
tubute	礫
tubuya	呟
tuda	伝
tudo	集
tudu	綴,續,続
tuduki	續,仲
tudumayaka	倹,儉
tudumi	皷,鼓
tudura	葛
tuduri	綴
tue	仗,杖,枴,梃,棍
tuga	栂,樛,番
tuge	柘
tugi	嗣,胤,調,亜,族,次
tugomori	晦
tugu	嗣,噤,拑,續,胤,鉗,韶,頌,維,亜,尋,序,二,次,紹,続,承
tugumi	鶇,鶫
tuguna	償
tui	叙,堆,墜,對,敍,敘,椎,槌,潰,縋,鎚,隧,築,立,対,遂,追,序,終,費
tuiba	啄,喋
tuide	叙,敍,敘,序
tuini	卆,竟,訖,卒
tuitati	朔
tuka	亊,倦,冢,劬,勞,埠,壟,憊,憑,拏,拿,掴,攫,杷,瘁,發,羸,閊,遣,塚,司,発,疲,捕,事,仕,尽,労,柄,使,束,支,家
tukae	痞
tukai	徭
tukasa	嗣,宦,曹,臺,司,台,務
tukasado	司
tuke	野,付
tuki	坏,槻,欟,殄,殫,築,属,月,尽,付,女
tuku	做,傅,啄,屬,捏,殄,殱,殲,爲,竭,鏗,為,築,属,造,筑,土,創,作
tukuba	蹲
tukuda	佃
tukue	几,机,案
tukuri	旁
tukuro	繕
tuma	倹,儉,嬬,抓,爪,褄,最,妻,撮
tumabasa	襭
tumabi	審,詳
tumabiraka	諦
tumada	翹,跂
tumako	孥
tumami	鈕
tumazu	跌,蹉,蹶,躓,頓
tume	爪,冷
tumi	辜,罪,積
tumo	妬
tumu	勣,瞑,紬,緝,錘,紡,摘
tumugi	紬
tumuri	頭
tumuzikaze	飃,飄,飆
tuna	婁,紘,絆,緤,繋,羇,羈,覊,之,綱
tunagu	紘
tunbo	聾
tune	庸,彜,彝,恆,抓,矩,經,経,毎,恒,常,典
tuneni	恒
tuno	募,角
tunza	劈
tura	緜,聨,聯,肆,辛,連,貫,面
turanu	串,貫
turanuku	琲
turatura	倩
ture	連
turea	對,逑,対
tureai	仇,儷
turi	釣
turiito	緡
turu	吊,寉,蔓,霍,弦,敦,鶴
turugi	剱,劍,劒,劔,釼,鋏,剣
tusa	橲
tusi	對,対
tuta	傳,樢,蔦,蘿,伝
tutae	伝
tutana	拙
tute	傳,伝
tuti	坤,壤,椎,槌,鎚,壌,土
tutihuru	霾
tutika	培
tutikure	塊
tutinoe	戊
tutinoto	己
tuto	劭,勗,懋,苞,苴,黽,孜,努,勤,勉,務
tutomu	孟,惇,力,茂,功
tutoni	夙
tutu	兢,勹,啄,坡,裹,韜,筒,包
tutuga	恙
tutumi	塘,陂,堤
tutumigamae	勹
tutusi	恪,愨,愼,愿,欽,矜,祗,竦,肅,虔,謹,齋,粛,斎,慎
tuu	通,痛
tuwamono	仗,戎,兵
tuya	艶,艷,澤,彩,沢
tuyo	侃,倔,勁,勍,彊,逎,遒,毅,剛,強
tuyosi	彊,彪,壮,毅,剛,雄,幹
tuyu	汁,露
tuzi	辻
tya	ちゃ,チャ,楪,茗,茶
tyaku	嫡,擲,磔,箸,謫,躇,着,役,著
tyan	莊,荘,頭
tyo	ちょ,チョ,佇,儲,墸,屠,杼,楮,樗,潴,瀦,猪,竚,箸,紵,苧,豬,躇,迢,貯,緒,著
tyoku	勅,捗,敕,矗,稙,躅,陟,隲,飭,直
tyou	仗,佻,傭,冢,凋,剳,吊,喋,嘲,塲,姚,寵,帖,幀,廰,廳,弔,恰,悵,挺,掉,掟,昶,晁,暢,杓,梃,條,樗,樢,沾,渫,漲,澂,牒,甼,疂,疉,疊,疔,眺,稠,窕,笘,箚,糴,糶,聽,肇,脹,腸,膓,萇,蔦,蜩,蝶,褶,誂,諜,貂,貼,趙,輒,輙,迢,釘,銚,陦,雕,髫,鬯,鯛,鰈,齠,敦,澄,畳,鳥,塚,聴,調,丁,超,場,登,帳,彫,跳,釣,頂,条,懲,長,庁,張,挑,潮,提,敏,朝,重,町,徴,兆
tyouzame	鰉
tyu	ちゅ,チュ,丶,厨,廚,蛛,誅,躊,酎
tyun	椿,仲
tyutu	朮,黜
tyuu	丑,偸,儔,冑,冲,厨,廚,惆,晝,狆,畴,疇,痩,稠,籀,籌,紂,紐,紬,綢,肘,胄,舳,蟄,蟲,衷,註,誅,躊,酎,鈕,鋳,鍮,鑄,抽,沖,注,中,宙,虫,昼,忠,柱,住,駐,仲
u	于,享,伐,佑,侑,倦,傴,卯,吁,售,嗚,塢,夘,嫗,孳,抃,挌,挧,掫,搏,搨,擣,擽,桙,椎,沽,烏,燠,瓜,盂,碓,碾,磑,禹,笛,糴,紆,胡,膿,芋,苑,茹,菟,蒔,藝,謳,賈,賣,迂,飢,餒,餓,饉,饑,饗,鵜,齲,憂,祐,綿,浮,雨,植,羽,芸,ウ,う,友,右,撃,熟,討,生,失,請,守,優,武,防,有,雅,打,得,御,府,埋,布,売,宇,承,受,保,産,遊
uba	姆,姥,簒,褫,奪
ubu	生,幼,産
ude	腕
udewa	釧
udon	饂
ue	筌,樹,植,殖,上
uezini	殍
uga	穿,鑿
ugai	漱
ugo	搖,盪,蕩,蘯,蠢,蹌,動,揺
ugoka	撼
ugome	蠕
ugui	鯏
uguisu	鴬,鶯
uhu	大
ui	茴,黄,初,外
uka	泛
ukaga	伺,俔,窺,覗,覘,諜,遉,闖
ukanmuri	宀
uke	筌,請
ukebako	凵
uketamawa	承
uki	浮
ukibukuro	鰾
ukikusa	萍,蘋
uma	甜,巧,馬,旨,甘,午
umai	生
umaka	圉
umare	生
umaya	厩,廏,廐
ume	呻,楳,梅
umeki	呻
umi	溟,瀛,膿,湖,海
umu	惓
umusa	茂
un	云,吽,怨,慍,暈,欝,殞,紜,繧,耘,薀,藝,蘊,褞,隕,饂,鶤,芸,銀,雲,運,海
una	唸,髫,魘,海
unaga	促
unagi	鰻
unari	唸
unazi	項
unazu	頷
une	壟,畆,畝,畦,畴,疇,釆
uo	魚
ura	卜,怏,怨,恨,悵,惆,慊,慍,憾,裡,麗,浦,占,裏
urakata	卦
urami	怨
urana	卜,筮,占
uranai	卜
urasi	嬉
uraya	羨
ure	嬉,恤,悄,悒,愁,憫,戚,邑,閔,憂
ureerusama	忙
urei	騷,騒
uresi	嬉
uri	瓜,売
uriyone	糶
uroko	鱗
uru	漆,潤,売
uruo	沾,洽,渥,濕,濡,霑,潤,澤,湿,沢
urusakusyabe	譫
urusi	漆
uruti	粳
uruu	閏,閠
uruwa	彬,斌,麗
us	欝,鬱
usa	総
usagi	兎,兔,莵,菟
usagiami	罘
usagiuma	驢
usi	丑,後,牛
usina	失
usio	汐,潮
usiro	後
usitora	艮
uso	嘘,獺,鷽
usobu	嘯
usu	凉,涼,漓,碓,臼,菲,薄
usudu	臼,舂
usuginu	紗,繻
usugu	腰
usutu	舂
uta	咏,哥,唄,嘔,宴,歐,詠,謌,謠,謳,賦,謡,欧,歌,詩
utaga	疑
utage	宴,讌
utaime	妓
utata	轉,転
utena	柎,臺,萼,蕚,台
uti	蔚,裡,内,中,打,家
utibari	梁
utigi	袿
utikake	袿,裲,褂
utiki	袿,褂
uto	疏,踈,疎
utta	愬,諍,訴
utu	冩,寫,徙,拊,暎,槍,欝,熨,蔚,轉,遷,鬱,写,虚,移,映,転,空
utubari	梁
utubo	笂,靫,靭,靱
utuku	佼,倩,妍,姚,娃,婉,窕,美
utukusi	旺
utumu	俯
utuo	靫,靱
utuwa	噐,器
uwa	上
uwabami	蟒,蠎
uwagoto	譫
uwagusuri	釉
uwasa	噂
uyama	敬
uyauya	恭
uzi	蛆,牛,氏
uzu	填,渦,疼,埋,水
uzuku	踞
uzukuma	蹲
uzumaki	巴
uzura	鶉
uzutaka	堆
va	ヴァ
ve	ヴェ
vi	ヴィ
vo	ヴォ
vu	ヴ
wa	佗,侘,倭,劃,哇,啝,夥,夬,娃,杷,沸,洶,涌,湧,滕,濆,琶,瓣,磐,窩,窪,苡,萵,蛙,詑,詫,辧,辨,辯,鐚,鐶,靡,鷲,把,話,輪,王,羽,破,ワ,わ,波,方,発,速,丸,久,弁,分,訪,花,環,早,葉,割,大,二,別,十,際,華,我,和,盤,房
waTU	和
wabi	佗,侘,詫
wadakama	蟠
wadako	和
wadati	轍
wadatii	轍
waga	綰,吾,我
wage	髷,鬟
wai	匯,歪,淮,猥,矮,穢,薈,隈,合,賄
waka	夭,嫩,觧,頒,稚,若,幼,別,解,判
wakanmuri	冖
wakare	訣
wakazini	夭,殀,殤
wake	譯,脇,分,訳
waki	湧,腋,傍,刀,脇
wakibasa	挟,挾,掖
wakigi	輒,輙
wakima	瓣,辧,辨,辯,弁
wakka	稚
wako	若
waku	冲,或,湧,蠖,稚,惑,沖,若,枠
wame	諤,喚
wan	弯,彎,椀,灣,碗,綰,蜿,豌,湾,腕
wana	罠,羂
wanana	戦
wani	鰐,丸
wara	听,呵,哂,嗤,稈,稾,穣,穰,藁,春,稿,笑,原
warabe	僮,竣,童
warabi	蕨
warawa	妾,竣
warazi	鞋
warazimusi	蟠
ware	俺,臺,吾,台,我
wari	張,割
warihu	劵,卩,貭,質
waru	兇,惡,慝,獰,悪
warugasiko	狡,猾,獪,黠
wasa	沢
wase	鷲
wasi	儂,雕
wasu	諠,忘
wata	亂,亘,亙,彌,棉,濟,竟,絖,絮,緜,蹊,綿,乱,渉,幡,弥,渡,済,原
wataire	袍
watakusi	厶,私
watana	渡
watanabe	競
watara	渡
watari	渡
wataru	亘,恆,杭,航,超,弥,済,海
watasi	私,済
watu	斡
waza	藝,伎,芸,業,態,技
wazaogi	伶,倡,妓,伎
wazawa	妖,災
wazawai	夭,殃,禍
wazuka	僅,纔
wazura	擾,煩,患
wazurawa	數,数
we	ゑ,ヱ
wi	ゐ,ヰ
wo	ヲ,乎,于,を
ya	乎,冶,埜,墅,寢,已,弭,彌,揶,椰,歇,歟,烙,焚,煬,熄,燒,燔,燬,爺,疚,痩,窶,箭,罷,耶,蛇,蠱,輟,輻,辭,鵺,哉,悦,焼,遣,養,野,辞,ヤ,田,や,央,八,亜,弥,夜,合,谷,泰,宅,病,三,也,寝,矢,露,止,柳,屋,安,草,家
yaado	碼
yaaru	碼
yabu	壞,敝,毀,硅,籔,薮,藪,壊,破,敗
yabusa	吝,嗇
yabusaka	悋
yado	舍,宿,舎
yagate	軅,軈
yagi	柳
yagura	櫓,艪
yahazu	筈
yai	焼,柳
yaiba	刄,刃
yaito	灸
yakai	輩
yakama	喧
yakara	屬,属,輩
yakata	舘,館
yake	宿,宅
yaki	燒,焼
yakigari	焚
yakko	奴
yaku	亦,厄,喊,奕,扼,檪,櫟,灼,籥,繹,葯,藥,譯,軛,鑰,阨,隘,龠,疫,約,薬,益,役,躍,訳
yakusyo	廨,廰,廳,庁
yama	岾,疚,山
yamadori	翰
yamaguwa	柘
yamai	痾,病
yamainu	犲,豺
yamanasi	杜,棠
yamanire	梗
yamanokatati	嶐
yamato	倭
yami	闇
yamome	孀,鰥
yamoo	鰥
yan	山,陽
yana	柵,梁,楊,簗,柳
yanagi	楊,柳
yanai	柳
yano	山
yara	萢
yarai	柵
yari	槍,鎗,鑓
yasa	易,優
yase	憔,瘠
yasi	椰
yasiki	廛,邸
yasina	豢,飴,養
yasiro	廟,社
